         40432729 function calls (40431929 primitive calls) in 5.804 seconds

   Ordered by: cumulative time
   List reduced from 340 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       20    0.000    0.000    5.812    0.291 hash_mining_gate.py:734(receive)
       60    0.001    0.000    3.950    0.066 hash_snapshot.py:454(materialize_compact_state)
     1020    0.015    0.000    3.737    0.004 hash_snapshot.py:556(serialize)
       20    0.000    0.000    3.530    0.176 hash_mining_gate.py:636(_provenance)
       20    0.000    0.000    3.530    0.176 hash_gate_batch.py:21(check_graph)
       60    0.000    0.000    3.234    0.054 hash_gate_batch.py:97(hydrate)
     1020    0.093    0.000    2.604    0.003 hash_snapshot.py:511(_compact_share_jobs)
   198420    0.075    0.000    2.535    0.000 messages.py:904(calc_sha256)
   198420    0.047    0.000    2.405    0.000 messages.py:186(powhash)
   198420    0.825    0.000    2.358    0.000 messages.py:115(blake2b_header_hash_components)
      580    0.001    0.000    2.015    0.003 hash_snapshot.py:736(hash)
   116300    0.063    0.000    1.948    0.000 native_mining_gate.py:165(immutable_header)
       20    0.000    0.000    1.946    0.097 hash_gate_batch.py:143(walk)
    82060    0.024    0.000    1.689    0.000 native_enforcement.py:177(proof_id)
   289080    0.078    0.000    1.615    0.000 messages.py:791(__init__)
       80    0.020    0.000    1.256    0.016 hash_snapshot.py:389(apply_tides_state)
   164320    0.086    0.000    1.238    0.000 native_enforcement.py:168(header)
       20    0.000    0.000    1.173    0.059 hash_mining_gate.py:804(_parent_snapshot)
     1020    0.005    0.000    1.074    0.001 hash_snapshot.py:577(<listcomp>)
       60    0.000    0.000    1.062    0.018 hash_mining_gate.py:625(_submit_snapshot)
       20    0.000    0.000    1.059    0.053 hash_mining_gate.py:651(_rehydrate_retained)
    82100    0.012    0.000    1.054    0.000 messages.py:910(rehash)
    58220    0.021    0.000    1.024    0.000 native_mining_gate.py:172(template_id)
   793680    0.229    0.000    0.835    0.000 messages.py:107(tagged_hash)
       80    0.000    0.000    0.805    0.010 key.py:240(verify_schnorr)
       80    0.012    0.000    0.795    0.010 secp256k1.py:209(mul)
   289020    0.461    0.000    0.786    0.000 messages.py:883(serialize)
    41680    0.056    0.000    0.783    0.000 secp256k1.py:186(__add__)
      300    0.000    0.000    0.722    0.002 hash_snapshot.py:740(hash_hex)
      120    0.000    0.000    0.718    0.006 hash_gate_batch.py:57(account)
      220    0.014    0.000    0.676    0.003 hash_snapshot.py:639(deserialize)
   172740    0.367    0.000    0.666    0.000 messages.py:837(deserialize)
      320    0.000    0.000    0.605    0.002 test_hash_compact.py:293(__call__)
      320    0.000    0.000    0.605    0.002 test_hash_tides.py:49(__call__)
      320    0.000    0.000    0.605    0.002 test_hash_mining_gate.py:33(__call__)
  1589480    0.257    0.000    0.568    0.000 messages.py:91(sha256)
       80    0.000    0.000    0.431    0.005 hash_snapshot.py:732(owner_message)
       80    0.000    0.000    0.430    0.005 hash_snapshot.py:728(signing_payload)
       80    0.000    0.000    0.430    0.005 hash_snapshot.py:724(contents_hash)
  8245440    0.362    0.000    0.362    0.000 {method 'to_bytes' of 'int' objects}
       60    0.000    0.000    0.337    0.006 hash_mining_gate.py:598(_snapshot)
       40    0.000    0.000    0.337    0.008 hash_mining_gate.py:787(_block_snapshot)
  6547860    0.332    0.000    0.332    0.000 messages.py:172(<genexpr>)
       40    0.000    0.000    0.311    0.008 hash_gate_batch.py:86(load_raw_parent)
       20    0.000    0.000    0.311    0.016 hash_gate_batch.py:104(<lambda>)


