         15176744 function calls (14893888 primitive calls) in 2.719 seconds

   Ordered by: cumulative time
   List reduced from 627 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    1.761    1.761 hash_mining_gate.py:1300(make_native)
      721    0.001    0.000    1.173    0.002 native_mining_gate.py:145(parse_block)
        2    0.000    0.000    1.125    0.563 hash_mining_gate.py:871(_batch)
        4    0.002    0.000    1.114    0.278 hash_mining_gate.py:920(trial)
        1    0.001    0.001    0.842    0.842 hash_mining_gate.py:1374(authorize)
      241    0.000    0.000    0.687    0.003 feature_sharepool_hash_cadence_benchmark.py:100(<lambda>)
      241    0.001    0.000    0.687    0.003 feature_sharepool_hash_cadence_benchmark.py:86(call)
      241    0.000    0.000    0.677    0.003 capacity_metrics.py:144(call)
      241    0.000    0.000    0.676    0.003 coverage.py:44(__call__)
      241    0.000    0.000    0.675    0.003 authproxy.py:130(__call__)
      241    0.000    0.000    0.669    0.003 authproxy.py:97(_request)
      241    0.001    0.000    0.661    0.003 authproxy.py:166(_get_response)
      241    0.000    0.000    0.657    0.003 client.py:1305(getresponse)
      241    0.001    0.000    0.656    0.003 client.py:309(begin)
      241    0.000    0.000    0.645    0.003 client.py:276(_read_status)
     1205    0.000    0.000    0.644    0.001 {method 'readline' of '_io.BufferedReader' objects}
      245    0.000    0.000    0.644    0.003 socket.py:690(readinto)
      245    0.644    0.003    0.644    0.003 {method 'recv_into' of '_socket.socket' objects}
     4800    0.002    0.000    0.622    0.000 hash_snapshot.py:305(from_record)
      721    0.000    0.000    0.555    0.001 messages.py:930(deserialize)
115834/1321    0.059    0.000    0.549    0.000 messages.py:246(deser_vector)
    38371    0.057    0.000    0.520    0.000 messages.py:685(deserialize)
      209    0.000    0.000    0.414    0.002 hash_snapshot.py:197(normalize_template)
      101    0.001    0.000    0.411    0.004 hash_snapshot.py:217(serialize)
      921    0.057    0.000    0.381    0.000 native_mining_gate.py:93(_preflight_block)
      101    0.002    0.000    0.354    0.004 hash_snapshot.py:212(from_block)
189868/38395    0.068    0.000    0.352    0.000 messages.py:262(ser_vector)
    55841    0.061    0.000    0.316    0.000 messages.py:716(serialize_with_witness)
      941    0.001    0.000    0.311    0.000 messages.py:934(serialize)
      896    0.024    0.000    0.277    0.000 hash_snapshot.py:740(deserialize)
        2    0.000    0.000    0.235    0.118 hash_mining_gate.py:649(_native_template)
   272418    0.057    0.000    0.210    0.000 native_mining_gate.py:81(count)
   670285    0.158    0.000    0.199    0.000 native_mining_gate.py:139(read)
     1228    0.038    0.000    0.197    0.000 hash_snapshot.py:657(serialize)
      100    0.001    0.000    0.184    0.002 hash_mining_gate.py:682(_require_origin)
        5    0.000    0.000    0.184    0.037 hash_gate_batch.py:20(check_graph)
      101    0.000    0.000    0.166    0.002 hash_mining_gate.py:599(_submit_snapshot)
   625399    0.084    0.000    0.145    0.000 native_mining_gate.py:71(skip)
   311710    0.063    0.000    0.145    0.000 native_mining_gate.py:76(uint)
   118013    0.021    0.000    0.140    0.000 native_mining_gate.py:89(variable)
   272218    0.054    0.000    0.140    0.000 messages.py:206(deser_compact_size)
      602    0.002    0.000    0.126    0.000 hash_gate_cache.py:77(decode)
        1    0.000    0.000    0.126    0.126 hash_snapshot.py:973(sign_owner)
    38371    0.022    0.000    0.122    0.000 messages.py:555(deserialize)
   118013    0.022    0.000    0.118    0.000 messages.py:217(deser_string)
        1    0.000    0.000    0.112    0.112 hash_mining_gate.py:642(register_snapshot)
     1000    0.003    0.000    0.112    0.000 hash_snapshot.py:276(__init__)
        2    0.000    0.000    0.109    0.055 hash_mining_gate.py:1316(decode)
        1    0.000    0.000    0.108    0.108 native_signer.py:81(_invoke)
        3    0.000    0.000    0.106    0.035 selectors.py:554(select)
        9    0.106    0.012    0.106    0.012 {method 'control' of 'select.kqueue' objects}
    305/5    0.001    0.000    0.095    0.019 hash_gate_batch.py:170(walk)
     2119    0.001    0.000    0.094    0.000 hash_snapshot.py:895(snapshot)
    38371    0.011    0.000    0.091    0.000 messages.py:639(deserialize)
   898738    0.069    0.000    0.088    0.000 native_mining_gate.py:67(remaining)
    38371    0.006    0.000    0.079    0.000 messages.py:620(deserialize)
      401    0.001    0.000    0.079    0.000 hash_mining_gate.py:571(_snapshot)
    66543    0.024    0.000    0.077    0.000 messages.py:561(serialize)
     1101    0.019    0.000    0.074    0.000 messages.py:944(get_merkle_root)
    38371    0.013    0.000    0.073    0.000 messages.py:288(deser_string_vector)
