         74753525 function calls (74416292 primitive calls) in 16.492 seconds

   Ordered by: cumulative time
   List reduced from 626 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.001    0.000   13.906    6.953 hash_mining_gate.py:902(_batch)
       16    0.003    0.000   13.894    0.868 hash_mining_gate.py:951(trial)
       17    0.000    0.000   13.869    0.816 hash_gate_batch.py:20(check_graph)
  1323/17    0.003    0.000   13.507    0.795 hash_gate_batch.py:170(walk)
     1306    0.001    0.000   13.179    0.010 hash_gate_batch.py:116(hydrate)
     1306    0.009    0.000   13.178    0.010 hash_snapshot.py:497(materialize_compact_state)
     1308    0.003    0.000   13.090    0.010 key.py:240(verify_schnorr)
     1308    0.182    0.000   12.926    0.010 secp256k1.py:209(mul)
   670392    0.891    0.000   12.744    0.000 secp256k1.py:186(__add__)
        1    0.001    0.001    8.230    8.230 hash_mining_gate.py:1376(authorize)
        1    0.000    0.000    8.158    8.158 hash_mining_gate.py:1302(make_native)
 10357792    4.245    0.000    4.784    0.000 secp256k1.py:30(__init__)
   670076    0.464    0.000    4.039    0.000 secp256k1.py:171(__init__)
  2339528    0.550    0.000    3.974    0.000 secp256k1.py:83(__pow__)
  2670852    1.252    0.000    3.069    0.000 secp256k1.py:59(__sub__)
  4681672    2.923    0.000    2.923    0.000 {built-in method builtins.pow}
      721    0.001    0.000    1.183    0.002 native_mining_gate.py:145(parse_block)
  1333908    0.418    0.000    1.104    0.000 secp256k1.py:69(__mul__)
  1337536    0.447    0.000    1.079    0.000 secp256k1.py:49(__add__)
        1    0.000    0.000    1.068    1.068 hash_mining_gate.py:640(_provenance)
  1670760    0.774    0.000    0.808    0.000 secp256k1.py:126(__eq__)
   666448    0.153    0.000    0.714    0.000 secp256k1.py:75(__rmul__)
 27887999    0.694    0.000    0.694    0.000 {built-in method builtins.isinstance}
      241    0.000    0.000    0.686    0.003 feature_sharepool_hash_cadence_benchmark.py:100(<lambda>)
      241    0.001    0.000    0.686    0.003 feature_sharepool_hash_cadence_benchmark.py:86(call)
   667460    0.091    0.000    0.679    0.000 secp256k1.py:79(__truediv__)
      241    0.000    0.000    0.675    0.003 capacity_metrics.py:144(call)
      241    0.000    0.000    0.675    0.003 coverage.py:44(__call__)
      241    0.000    0.000    0.674    0.003 authproxy.py:130(__call__)
      241    0.000    0.000    0.668    0.003 authproxy.py:97(_request)
      241    0.001    0.000    0.660    0.003 authproxy.py:166(_get_response)
      241    0.000    0.000    0.656    0.003 client.py:1305(getresponse)
      241    0.001    0.000    0.655    0.003 client.py:309(begin)
      241    0.000    0.000    0.644    0.003 client.py:276(_read_status)
     1205    0.000    0.000    0.643    0.001 {method 'readline' of '_io.BufferedReader' objects}
      245    0.000    0.000    0.643    0.003 socket.py:690(readinto)
      245    0.643    0.003    0.643    0.003 {method 'recv_into' of '_socket.socket' objects}
    11842    0.002    0.000    0.626    0.000 hash_snapshot.py:305(from_record)
     2929    0.055    0.000    0.620    0.000 hash_snapshot.py:737(deserialize)
      721    0.000    0.000    0.560    0.001 messages.py:930(deserialize)
115834/1321    0.059    0.000    0.553    0.000 messages.py:246(deser_vector)
    38371    0.058    0.000    0.527    0.000 messages.py:685(deserialize)
      209    0.000    0.000    0.416    0.002 hash_snapshot.py:197(normalize_template)
      101    0.001    0.000    0.413    0.004 hash_snapshot.py:217(serialize)
     4291    0.083    0.000    0.407    0.000 hash_snapshot.py:654(serialize)
     9210    0.002    0.000    0.387    0.000 hash_snapshot.py:892(snapshot)
      921    0.057    0.000    0.387    0.000 native_mining_gate.py:93(_preflight_block)
      101    0.002    0.000    0.358    0.004 hash_snapshot.py:212(from_block)
189868/38395    0.067    0.000    0.351    0.000 messages.py:262(ser_vector)
    55841    0.061    0.000    0.316    0.000 messages.py:716(serialize_with_witness)
      941    0.001    0.000    0.311    0.000 messages.py:934(serialize)
     1323    0.001    0.000    0.309    0.000 hash_gate_batch.py:97(load)
     1608    0.006    0.000    0.241    0.000 hash_gate_cache.py:77(decode)
        2    0.000    0.000    0.236    0.118 hash_mining_gate.py:680(_native_template)
     2006    0.007    0.000    0.214    0.000 hash_snapshot.py:276(__init__)
   272418    0.057    0.000    0.213    0.000 native_mining_gate.py:81(count)
     1407    0.002    0.000    0.213    0.000 hash_mining_gate.py:602(_snapshot)
   670285    0.163    0.000    0.204    0.000 native_mining_gate.py:139(read)
      100    0.001    0.000    0.181    0.002 hash_mining_gate.py:713(_require_origin)
      101    0.000    0.000    0.164    0.002 hash_mining_gate.py:630(_submit_snapshot)
